Name;Hours without subtasks;Hours with subtasks
                         Mail;3m 55s;3m 55s
                    Temperature demonstrator - koncept;-;2h 56m
                         Athermal FBG;10m;1h 13m
                              Zistovanie terminov;44m 58s;44m 58s
                              Cenove ponuky - mail;18m 35s;18m 35s
                         Koncept - Jaro / Mato;29m;29m
                         Phone call - Dawid;26m 42s;26m 42s
                         Mail - Magnus;18m 44s;18m 44s
                         BOM;17m 14s;17m 14s
                         Talk - Jaro;11m 45s;11m 45s
                    Phone call;2h 56m;2h 56m
                    Diskusia - Jaro;5m 11s;5m 11s
               General;-;5h 8m
                    Business case - MR;1h 26m;3h 39m
                         Definicia custom WL pre 400;1h 4m;1h 4m
                         Talk - Peto;47m 35s;47m 35s
                         Talk - Peto / Edo;22m;22m
                    phone conference;1h 29m;1h 29m
               Production;-;2h 13m
                    Vyroba MS-03 + TP-02;19m 10s;2h 13m
                         Diskusia - Jaro / Marek / Michal;1h 35m;1h 35m
                         Diskusia - Marek;10m 51s;10m 51s
                         ISYS - Ado / Peto;7m 59s;7m 59s
          1399 - OPI;-;13h 4m
               Vyroba vzoriek 2016_1;19m 13s;8h 30m
                    Testovanie vzorky;2h 17m;4h 11m
                         Vyhodnotenie;1h 54m;1h 54m
                    Nastavenie vzorky 2016_1;2h 3m;2h 3m
                    Lepenie vzorky 2016_01;1h 55m;1h 55m
               Hladanie materialov na sklade / evidencia;2h 54m;2h 54m
               Sumarizacia doterajsich vsyledkov;-;1h 25m
                    Brainstorming;1h 16m;1h 16m
                    Diskusia - Edo;9m;9m
               Phone call Dawid;14m 20s;14m 20s
Vyvojove ulohy;33m 41s;95h 1m
     Riadenie vyvojovych uloh;-;82h 52m
          Update Projectu;30h;39h 57m
               Reporting;2h 29m;2h 29m
               Doplnenie Projectu Technica SA;2h 20m;2h 20m
               Stav uloh - Mail - Tomas;1h 35m;1h 35m
               Nove ulohy;57m 6s;57m 6s
               Update nakladov;49m 11s;49m 11s
               Doplnenie novych uloh - Tomas;41m;41m
               Diskusia - Tomas;33m;33m
               Rekonfiguracia - novy notebook;30m 32s;30m 32s
          planovanie vyvojovych uloh na 2016;57m 20s;34h 33m
               Hruby plan uloh;4h 58m;26h 6m
                    Project - Nastavenia;4h 24m;20h 24m
                         Import Tomasovych uloh;6h 6m;6h 6m
                         Doplnenie hotovych uloh - mail - Tomas;4h 40m;4h 40m
                         Uprava - Tomas;3h 44m;3h 44m
                         Update HW uloh - Jaro;1h 9m;1h 9m
                         Vytvorenie Eway CRM - Ado;18m 47s;18m 47s
                    meeting - Tomas;44m 14s;44m 14s
               Meeting Peto / Tomas / Gabo;5h 52m;5h 52m
               Meeting - Peto - aktualny stav;39m 29s;39m 29s
               Meeting - Edo;34m;34m
               Timecamp - Jardo;24m 5s;24m 5s
          Doplnenie informacii do Projectu;3h 21m;3h 21m
          Mail - rozpis uloh;1h 53m;1h 53m
          Reporty pre Peta na poradu vedenia;1h 12m;1h 12m
          Diskusia - Peto;50m;50m
          Meeting - Tomas;40m 16s;40m 16s
          Ulohy na 2016;52s;23m 2s
               Zber udajov;22m 10s;22m 10s
     TRL, TPL;2h 19m;7h 56m
          TRL, TPL - Tomas;2h 10m;2h 10m
          Studovanie dokumentov;2h;2h
          TRL,TPL Meeting - Tomas / Gabo / Edo / Peto;1h 26m;1h 26m
     Edo - meeting;2h 17m;2h 17m
     Meeting - Edo / Peto / Tomas;1h 21m;1h 21m
TOOZ;-;92h 44m
     Projects;-;89h 37m
          1609 - Podbiel;1h 31m;89h 37m
               Evaluation;-;39h 9m
                    Vyhodnotenie prvych merani - WL to strain;13h 29m;24h 51m
                         Testovanie MS-03 - bending strain;3h 16m;3h 46m
                              Testovanie MS-03 / SG-01 / MS-02 bending strain;30m;30m
                         Meeting - SjF - Analyza vysledkov;2h 10m;2h 10m
                         Diskusia - Tomas / MAto;1h 49m;1h 49m
                         Pridanie novych udajov;1h 15m;1h 15m
                         Averaging reportu;1h 8m;1h 8m
                         Rekonfiguracia snimacov;38m 31s;38m 31s
                         Diskusia - Tomas / Mato;19m 22s;19m 22s
                         Export udajov - Tomas;14m 45s;14m 45s
                    Analyza Maj 2016;-;12h 39m
                         Referencovanie VDV;-;6h 31m
                              Vytvorenie .dat suboru;6h 31m;6h 31m
                         Referencovanie - Sentinel;1m 17s;1h 55m
                              Update definicneho suboru;1h 54m;1h 54m
                         Export uajov - cely mesiac;58m 2s;1h 44m
                              Generovanie reportu;46m 14s;46m 14s
                         VDV - referencovanie / research moznosti;53m 31s;53m 31s
                         Diskusia - Tomas;35m 1s;35m 1s
                         Talk - Tomas - detaily;33m 20s;33m 20s
                         Export udajov - obmedzena rychlost;27m 7s;27m 7s
