Hours without subtasks;Hours with subtasks
-;2h 9m
-;2h 9m
-;1h 12m
45m 4s;45m 4s
27m;27m
31m 13s;31m 13s
25m 54s;25m 54s
-;1h 58m
-;1h 58m
1h 3m;1h 3m
55m;55m
-;1h 50m
-;1h 50m
1h 50m;1h 50m
44m 25s;1h 41m
-;56m 48s
56m 48s;56m 48s
-;1h 38m
1h 38m;1h 38m
1h 35m;1h 35m
46s;1h 32m
-;1h 31m
1h 2m;1h 2m
26m 14s;26m 14s
3m 4s;3m 4s
-;1h 23m
-;1h 23m
1h 3m;1h 3m
20m;20m
-;1h 22m
-;1h 22m
-;46m
46m;46m
36m;36m
-;1h 14m
-;40m
40m;40m
-;34m 14s
34m 14s;34m 14s
-;1h 10m
-;1h 10m
1h 10m;1h 10m
-;1h 10m
-;1h 10m
1h 10m;1h 10m
-;56m 7s
56m 7s;56m 7s
-;52m 36s
52m 36s;52m 36s
-;45m 11s
-;45m 11s
45m 11s;45m 11s
-;38m 44s
-;29m 49s
29m 49s;29m 49s
8m 55s;8m 55s
-;37m 32s
-;37m 32s
37m 32s;37m 32s
-;32m 47s
-;32m 47s
32m 47s;32m 47s
-;26m 57s
-;26m 57s
26m 57s;26m 57s
-;24m 51s
24m 51s;24m 51s
-;24m 43s
24m 43s;24m 43s
-;24m 32s
-;24m 32s
-;24m 32s
-;24m 32s
24m 32s;24m 32s
-;21m 53s
-;13m
13m;13m
-;8m 53s
8m 53s;8m 53s
-;21m 7s
-;21m 7s
-;21m 7s
21m 7s;21m 7s
-;17m 13s
17m 13s;17m 13s
-;16m 59s
-;16m 59s
16m 59s;16m 59s
-;14m 14s
14m 14s;14m 14s
-;13m 2s
-;13m 2s
13m 2s;13m 2s
-;10m
10m;10m
-;9m 55s
-;9m 55s
9m 55s;9m 55s
-;6m 8s
6m 8s;6m 8s
3m 22s;3m 22s
53s;53s
1757h 9m;1757h 9m
;
